id,id2,oldid,vcfid,A,state,gencoveid,projid
49_2021Q115_1,49_2021Q115,173451D,173451D,1e-05,IN,21e92c01-0c49-46f5-bbc4-c7ed418d39bd,fb7724e2-2191-4084-be6e-5ee124245744
63_2021Q61_5,63_2021Q61,173470D,173470D,1e-05,IN,b12125d7-d144-446c-9171-44c1853b616b,fb7724e2-2191-4084-be6e-5ee124245744
6_2020Q5_1,6_2020Q5,173480D,173480D,1e-05,IN,1ad27523-d0c6-442f-982f-3475e6c46d2b,fb7724e2-2191-4084-be6e-5ee124245744
6_2020Q5_4,6_2020Q5,173484D,173484D,1e-05,IN,e083a8d6-8270-4d6c-8005-84b0f24b634e,fb7724e2-2191-4084-be6e-5ee124245744
20_2020Q19_1,20_2020Q19,173486D,173486D,1e-05,IN,3eb4dd8c-4c88-4175-a10b-d221ed9facd2,fb7724e2-2191-4084-be6e-5ee124245744
20_2020Q19_3,20_2020Q19,173487D,173487D,1e-05,IN,c8f68629-7e44-437b-b652-82d644c17df0,fb7724e2-2191-4084-be6e-5ee124245744
20_2020Q19_2,20_2020Q19,173488D,173488D,1e-05,IN,8273f70a-04e6-448f-ad72-ef9af04e105c,fb7724e2-2191-4084-be6e-5ee124245744
20_2020Q19_5,20_2020Q19,173492D,173492D,1e-05,IN,323c66c8-9abe-44ab-a7d7-f1c24bbfb295,fb7724e2-2191-4084-be6e-5ee124245744
8_2020Q7_2,8_2020Q7,173496D,173496D,1e-05,IN,b5c8fb68-ca03-4b46-a248-e463a1f58504,fb7724e2-2191-4084-be6e-5ee124245744
8_2020Q7_3,8_2020Q7,173500D,173500D,1e-05,IN,270feed5-a088-4c80-8fed-660e0bf806ba,fb7724e2-2191-4084-be6e-5ee124245744
8_2020Q7_5,8_2020Q7,173504D,173504D,1e-05,IN,ae3ec4c1-b3b7-4b55-9f90-ad6077b73d90,fb7724e2-2191-4084-be6e-5ee124245744
Versailles_4,Versailles,173508D,173508D,1e-05,IN,bcfdbbcd-6f10-4f54-a5b1-9dc2ce862190,fb7724e2-2191-4084-be6e-5ee124245744
Versailles_2,Versailles,173512D,173512D,1e-05,IN,e0a4d108-47c5-4357-a2f6-5263ce3d4165,fb7724e2-2191-4084-be6e-5ee124245744
Versailles_1,Versailles,173514D,173514D,1e-05,IN,7ef5295b-e55f-41a4-9d4c-96cbdb09e861,fb7724e2-2191-4084-be6e-5ee124245744
Brown 39.1648312_2,Brown 39.1648312,173545D,173545D,1e-05,IN,32501d16-2f5e-4794-b8e1-c0f05b4d462e,fb7724e2-2191-4084-be6e-5ee124245744
Brown 39.1648312_1,Brown 39.1648312,173546D,173546D,1e-05,IN,e0096c81-145d-4cdd-ab15-cca52041aec3,fb7724e2-2191-4084-be6e-5ee124245744
Starve Hollow_2,Starve Hollow,173520D,173520D,6.4e-05,IN,9f409cb2-2a29-4958-a40d-52d90a501b79,fb7724e2-2191-4084-be6e-5ee124245744
63_2021Q61_1,63_2021Q61,173471D,173471D,0.000138,IN,c08ddaeb-2d1b-4e72-a393-6705ec2bee3e,fb7724e2-2191-4084-be6e-5ee124245744
6_2020Q5_2,6_2020Q5,173481D,173481D,0.000488,IN,57c9ff6e-c5d8-4f59-a4a3-4a83f1c7dc96,fb7724e2-2191-4084-be6e-5ee124245744
Brown 39.1623424_2,Brown 39.1623424,173549D,173549D,0.001058,IN,0814d2be-8e57-419b-9b7d-07966dda2b43,fb7724e2-2191-4084-be6e-5ee124245744
Mounds_1,Mounds,173352D,173352D,0.001413,IN,32689548-0854-463d-822d-5db7f05b27ed,fb7724e2-2191-4084-be6e-5ee124245744
Falls Ohio_5,Falls Ohio,173507D,173507D,0.001881,IN,cafed333-9a7d-4bcc-958f-042764fa339b,fb7724e2-2191-4084-be6e-5ee124245744
Brown 39.1648312_4,Brown 39.1648312,173547D,173547D,0.001903,IN,efacaa68-8ea0-4ec6-b400-4c061661a04e,fb7724e2-2191-4084-be6e-5ee124245744
Brown 39.1766629_1,Brown 39.1766629,173536D,173536D,0.001962,IN,3a302b3e-a46d-4b1d-a8e0-eccf6c2754db,fb7724e2-2191-4084-be6e-5ee124245744
Ferdinand_2,Ferdinand,173381D,173381D,0.00282,IN,e9207b1f-c3a2-40bc-b46d-16e076a51438,fb7724e2-2191-4084-be6e-5ee124245744
Charlestown_6,Charlestown,173538D,173538D,0.002865,IN,5b5ca817-d799-4ff4-a519-4b8e4ab7f9d1,fb7724e2-2191-4084-be6e-5ee124245744
Harmonie_1,Harmonie,173394D,173394D,0.003133,IN,d7c39df6-4b9c-4319-a712-fdbe9f8997ae,fb7724e2-2191-4084-be6e-5ee124245744
8_2020Q7_1,8_2020Q7,173494D,173494D,0.00342,IN,cce76ab2-3058-4fae-9e9b-2974cdcb6cef,fb7724e2-2191-4084-be6e-5ee124245744
